@relation 'trafico2011_15ming'

@attribute intensidad numeric
@attribute tocup numeric
@attribute vmed numeric
@attribute gap numeric
@attribute congestion {0,1}

@data
272,11,53,35,0
226,9,53,37,0
145,5,56,47,0
116,4,57,44,0
129,5,56,46,0
113,4,57,48,0
81,3,57,53,0
67,2,58,46,0
59,1,56,48,0
65,2,57,43,0
42,1,58,45,0
30,0,57,50,0
28,0,61,29,0
22,0,59,13,0
28,0,60,28,0
13,0,59,13,0
7,0,70,0,0
12,0,57,24,0
12,0,72,26,0
10,0,62,4,0
6,0,59,0,0
9,0,63,15,0
9,0,56,0,0
14,0,57,16,0
12,0,58,22,0
12,0,64,0,0
12,0,63,3,0
11,0,56,23,0
22,0,61,18,0
28,0,57,25,0
43,1,58,24,0
79,3,57,42,0
97,3,58,62,0
168,6,55,44,0
349,16,51,29,0
364,16,51,27,0
442,26,42,19,0
470,40,29,10,0
476,38,31,11,0
481,32,37,15,0
425,35,33,14,1
453,43,29,11,1
473,46,27,9,1
458,42,31,11,1
435,48,24,8,1
459,43,27,10,0
382,20,45,24,0
378,16,52,29,0
366,16,51,30,0
370,17,51,29,0
331,14,53,31,0
350,16,53,30,0
342,15,52,32,0
329,14,54,33,0
321,14,53,34,0
338,15,53,32,0
356,15,54,31,0
333,14,54,33,0
355,15,53,30,0
356,16,53,30,0
446,24,45,21,0
433,26,42,20,1
424,42,30,12,0
494,29,41,16,1
467,47,26,8,1
412,54,23,8,1
439,50,24,8,1
421,50,25,9,1
454,39,32,13,1
424,48,25,9,1
409,47,26,10,0
421,20,50,23,0
456,22,49,22,0
497,28,44,17,0
476,33,38,15,0
494,30,41,16,1
445,31,39,17,0
468,35,35,14,1
413,40,30,13,0
414,43,25,10,0
424,32,32,14,1
422,48,23,8,1
394,42,25,10,1
412,42,28,11,1
392,48,22,9,1
425,41,26,10,1
386,49,22,8,1
419,33,34,15,1
355,41,27,12,1
436,40,27,11,1
391,27,38,19,0
335,15,51,32,0
340,15,50,31,0
331,15,51,31,0
331,15,50,29,0
261,11,53,41,0
293,13,52,31,0
244,10,54,39,0
171,6,56,43,0
130,5,57,53,0
133,5,55,41,0
110,4,58,51,0
97,3,55,48,0
69,2,57,44,0
93,3,57,57,0
66,2,56,40,0
53,1,58,24,0
48,1,58,33,0
32,0,59,21,0
36,1,56,42,0
28,0,59,46,0
33,1,59,41,0
20,0,59,29,0
22,0,56,21,0
9,0,61,18,0
16,0,59,3,0
9,0,58,20,0
16,0,58,39,0
11,0,58,7,0
19,0,59,33,0
18,0,58,30,0
22,0,58,20,0
14,0,61,0,0
15,0,60,18,0
23,0,58,23,0
34,1,59,20,0
56,2,58,48,0
86,3,57,56,0
99,3,58,51,0
170,7,55,44,0
342,16,51,27,0
368,17,50,26,1
440,32,36,16,1
457,43,27,10,0
448,41,28,11,0
488,31,38,15,1
470,38,33,13,0
475,39,31,11,0
458,49,23,8,1
444,30,40,18,1
421,32,37,17,0
417,30,37,18,0
419,26,41,20,0
400,19,49,26,0
448,24,45,20,0
471,27,42,18,0
460,30,39,16,0
393,21,46,23,0
408,21,47,23,1
456,32,36,15,0
389,20,46,25,0
371,17,51,28,0
364,16,52,30,0
462,31,38,16,0
397,18,50,27,0
416,25,43,21,1
455,43,28,10,1
462,37,31,12,1
429,50,24,8,1
446,47,28,9,0
461,30,40,17,0
497,30,39,15,0
497,31,39,15,1
441,45,27,9,1
426,50,24,8,1
439,50,25,8,1
406,50,23,8,1
440,37,32,14,1
450,43,30,11,1
437,40,33,13,1
425,29,41,19,1
463,42,29,10,0
431,25,43,20,1
407,31,38,17,1
440,43,27,10,1
453,47,26,9,1
396,49,23,9,1
407,50,22,8,1
411,46,25,9,1
398,49,22,8,1
400,49,23,8,1
410,45,23,9,0
419,36,30,13,0
381,19,47,25,0
371,18,48,28,0
359,17,49,28,0
353,15,51,30,0
373,17,50,28,0
308,13,51,35,0
318,14,51,33,0
284,12,52,37,0
254,10,53,39,0
294,12,53,34,0
253,10,53,39,0
230,9,53,41,0
168,6,56,41,0
168,6,56,42,0
144,5,56,49,0
124,4,58,55,0
115,4,55,49,0
94,3,56,55,0
87,3,56,42,0
85,3,56,55,0
80,3,54,43,0
73,2,56,53,0
53,1,59,39,0
37,1,55,42,0
52,1,56,62,0
65,2,59,48,0
35,0,59,42,0
39,1,57,36,0
30,0,60,27,0
30,0,54,31,0
39,1,56,47,0
17,0,57,4,0
25,0,57,34,0
23,0,58,29,0
30,0,59,26,0
22,0,57,28,0
24,0,59,17,0
30,0,59,25,0
21,0,58,10,0
39,1,59,44,0
51,1,60,38,0
66,2,60,54,0
81,3,56,43,0
123,4,57,51,0
105,4,58,41,0
117,4,57,40,0
161,6,55,50,0
156,6,56,48,0
155,6,55,41,0
137,5,57,50,0
181,7,56,42,0
211,8,55,40,0
246,10,55,38,0
251,10,55,38,0
294,12,53,31,0
287,12,54,34,0
337,15,53,29,0
304,13,53,33,0
336,14,54,31,0
336,14,54,31,0
374,16,52,28,0
396,19,49,26,0
343,15,53,31,0
382,17,51,27,0
358,15,53,30,0
361,16,53,31,0
343,15,53,31,0
350,16,53,32,0
358,15,53,31,0
335,14,53,32,0
379,16,53,29,0
380,17,51,28,0
358,15,52,30,0
350,15,53,31,0
365,16,53,30,0
295,12,55,35,0
268,10,56,40,0
256,10,56,37,0
216,8,56,43,0
204,8,57,43,0
196,7,57,43,0
213,8,56,43,0
227,9,57,40,0
233,9,56,44,0
220,9,56,41,0
214,8,57,41,0
238,9,57,43,0
265,10,56,38,0
272,11,56,38,0
284,12,55,39,0
285,12,53,39,0
281,12,54,39,0
288,12,53,35,0
284,12,52,37,0
307,13,51,34,0
256,10,54,37,0
240,10,53,40,0
271,11,54,39,0
283,12,53,36,0
275,11,53,39,0
241,10,53,40,0
238,10,53,39,0
249,10,53,37,0
223,9,55,42,0
218,9,54,37,0
232,9,53,35,0
194,8,55,43,0
152,6,56,50,0
139,5,57,43,0
135,5,57,49,0
99,3,56,55,0
110,4,56,56,0
101,3,56,55,0
95,3,57,55,0
87,3,55,45,0
101,3,55,52,0
84,3,55,48,0
91,3,57,45,0
56,1,58,51,0
52,1,56,38,0
50,1,57,51,0
60,2,58,49,0
55,1,58,44,0
44,1,58,28,0
37,1,58,38,0
35,0,57,25,0
38,1,58,42,0
43,1,57,59,0
28,0,56,15,0
27,0,57,34,0
24,0,61,24,0
26,0,55,27,0
35,1,58,33,0
30,0,56,46,0
45,1,56,35,0
34,1,58,35,0
42,1,61,29,0
42,1,58,25,0
54,1,58,41,0
76,2,57,47,0
68,2,58,50,0
60,2,57,44,0
80,2,58,40,0
85,3,56,49,0
80,2,58,59,0
71,2,59,40,0
101,3,58,49,0
108,4,59,50,0
122,4,59,52,0
90,3,56,46,0
115,4,59,45,0
135,5,59,49,0
138,5,58,43,0
141,5,58,42,0
180,7,58,44,0
217,9,55,34,0
222,9,57,38,0
229,9,55,41,0
227,9,56,38,0
259,10,55,36,0
282,12,53,35,0
246,10,55,37,0
267,11,55,38,0
280,12,54,33,0
317,14,53,30,0
289,12,54,36,0
338,14,53,32,0
303,12,54,34,0
304,13,54,35,0
284,11,55,37,0
327,14,54,32,0
319,13,53,31,0
246,10,55,38,0
202,8,57,41,0
173,6,57,41,0
174,7,58,43,0
183,7,59,47,0
175,7,57,45,0
179,7,56,45,0
198,8,57,38,0
239,9,57,44,0
272,11,55,35,0
280,12,54,36,0
318,13,54,33,0
325,15,52,31,0
374,17,50,28,0
388,20,48,25,0
398,19,48,23,0
424,22,46,22,0
451,26,42,18,0
404,19,49,24,0
425,22,45,22,0
372,17,51,28,0
402,19,49,25,0
356,16,52,29,0
321,14,51,29,0
304,14,51,31,0
272,11,53,35,0
