CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2017,Cádiz,Chipiona,007-00035-00,COSTA NOROESTE DE CADIZ - II,,"27,72",,Arcillo-limoso,Secano,,Moscatel de Chipiona,,,Cordón doble,"2,10 x 1,20 m",,
2017,Cádiz,Chipiona,007-00035-01,COSTA NOROESTE DE CADIZ - II,,"35,728",,Arcillo-limoso,Secano,,Pedro Ximenez,,,Cordón doble,"2,20 X 1.15",,
2017,Cádiz,Chipiona,007-00035-02,COSTA NOROESTE DE CADIZ - II,,6,,Arcillo-limoso,Secano,,Palomino Fino,,,Cordón doble,"2,20 X 1.15",,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,002-00020-10,CAMPIÑA DE CADIZ,,"13,346",,,Secano,,Palomino Fino,,,,,,
2017,Cádiz,Jerez de la Frontera,003-00105-06-1,CAMPIÑA DE CADIZ,CA/VD/03,"12,7242",4,Arcillo.limoso,Secano,No,Palomino Fino,,"161-49, 13-5",Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00105-11-5,CAMPIÑA DE CADIZ,CA/VD/03,"12,8372",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Cordón doble,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00106-11-7,CAMPIÑA DE CADIZ,CA/VD/03,"26,5591",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Cordón doble,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00106-29,CAMPIÑA DE CADIZ,CA/VD/03,"55,9125",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00106-31-1,CAMPIÑA DE CADIZ,CA/VD/03,"27,2308",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Cordón doble,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00106-31-2,CAMPIÑA DE CADIZ,CA/VD/03,"10,5569",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,003-00106-54-2,CAMPIÑA DE CADIZ,CA/VD/03,"9,1894",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Cordón doble,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,004-00017-16,CAMPIÑA DE CADIZ,CA/VD/03,"48,9282",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,Cordón doble,2.35 x 1.15,,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,005-00048-02,CAMPIÑA DE CADIZ,CA/VD/03,"19,9803",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,Cordón doble,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,097-00009-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"10,945",1,,Secano,,Palomino Fino,Palomino California,161-49 Couderc,Vara y pulgar jerezana,"2,30 X 1,15",3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,097-00100-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"7,161",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,099-00024-00-2,CAMPIÑA DE CADIZ,CA/VD/03,12,4,Arcillo.limoso,Secano,No,Palomino Fino,,"161-49C, 140-RU",Cordón doble,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,099-00026-30,CAMPIÑA DE CADIZ,,"57,5542",,,Secano,,Palomino Fino,,,,,,
2017,Cádiz,Jerez de la Frontera,100-00029-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"5,264",15,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,102-00004-01,CAMPIÑA DE CADIZ,CA/VD/03,"7,1321",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,Cordón doble,2.35 x 1.15,,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,102-00007-44,CAMPIÑA DE CADIZ,CA/VD/03,"34,309",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,102-00007-57,CAMPIÑA DE CADIZ,CA/VD/03,"14,8855",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,102-00011-22,CAMPIÑA DE CADIZ,CA/VD/03,"7,5411",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,102-00015-10,CAMPIÑA DE CADIZ,CA/VD/03,"17,6337",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,103-00001-17,CAMPIÑA DE CADIZ,CA/VD/03,"19,307",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,103-00002-26,CAMPIÑA DE CADIZ,CA/VD/03,9,4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,103-00002-26-2,CAMPIÑA DE CADIZ,CA/VD/03,"28,64",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,103-00003-02-3,CAMPIÑA DE CADIZ,CA/VD/03,"41,2092",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,105-00025-04-00,CAMPIÑA DE CADIZ,CA/VD/03,"4,407",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,105-00085-11,CAMPIÑA DE CADIZ,CA/VD/03,"27,9035",,Franco-arcilloso,Secano,,Palomino Fino,,161-49 Couderc,,2.35 x 1.15,3700,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,11045173,CAMPIÑA DE CADIZ,CA/VD/03,"40,3523",4,Arcillo.limoso,Secano,No,Palomino Fino,,"161-69, 13-5, 140 Ru",Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,11045174,CAMPIÑA DE CADIZ,CA/VD/03,"7,69",4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Cordón doble,2.40 x 1.15,3600,Espaldera vertical
