15	R-HSA-193807
11	R-HSA-193993
14	R-HSA-194002
43	R-HSA-194068
106	R-HSA-194138
4	R-HSA-194306
8	R-HSA-194313
466	R-HSA-194315
54	R-HSA-194441
150	R-HSA-194840
100	R-HSA-195253
326	R-HSA-195258
8	R-HSA-195399
360	R-HSA-195721
11	R-HSA-196025
39	R-HSA-196071
12	R-HSA-196108
17	R-HSA-196299
15	R-HSA-1963640
13	R-HSA-1963642
23	R-HSA-196741
16	R-HSA-196757
12	R-HSA-196780
9	R-HSA-196783
11	R-HSA-196791
33	R-HSA-196807
5	R-HSA-196819
8	R-HSA-196836
8	R-HSA-196843
127	R-HSA-196849
199	R-HSA-196854
27	R-HSA-1971475
21	R-HSA-197264
74	R-HSA-1980143
36	R-HSA-1980145
9	R-HSA-198203
15	R-HSA-198323
11	R-HSA-198693
26	R-HSA-198725
3	R-HSA-198745
23	R-HSA-198753
2	R-HSA-198765
410	R-HSA-198933
122	R-HSA-1989781
18	R-HSA-199220
103	R-HSA-199418
8	R-HSA-199920
158	R-HSA-199977
646	R-HSA-199991
72	R-HSA-199992
15	R-HSA-200425
29	R-HSA-201451
262	R-HSA-201681
14	R-HSA-201688
94	R-HSA-201722
29	R-HSA-202040
21	R-HSA-202131
64	R-HSA-2022090
19	R-HSA-2022377
28	R-HSA-2022854
13	R-HSA-2022857
19	R-HSA-2022870
12	R-HSA-2022923
32	R-HSA-2022928
1	R-HSA-2023837
185	R-HSA-202403
22	R-HSA-2024096
14	R-HSA-2024101
163	R-HSA-202424
70	R-HSA-202427
66	R-HSA-202430
80	R-HSA-202433
9	R-HSA-2025928
13	R-HSA-202670
227	R-HSA-202733
21	R-HSA-2028269
172	R-HSA-2029480
99	R-HSA-2029481
148	R-HSA-2029482
113	R-HSA-2029485
15	R-HSA-2032785
9	R-HSA-2033514
1	R-HSA-2033515
14	R-HSA-2033519
17	R-HSA-203615
5	R-HSA-203641
2	R-HSA-203754
24	R-HSA-203927
71	R-HSA-204005
16	R-HSA-204174
12	R-HSA-2046104
8	R-HSA-2046105
12	R-HSA-2046106
4	R-HSA-204626
82	R-HSA-204998
2	R-HSA-205017
7	R-HSA-205025
16	R-HSA-205043
13	R-HSA-209543
13	R-HSA-209560
4	R-HSA-209563
18	R-HSA-209776
12	R-HSA-209822
4	R-HSA-209905
5	R-HSA-209931
14	R-HSA-209952
10	R-HSA-209968
4	R-HSA-210455
23	R-HSA-210500
18	R-HSA-210744
20	R-HSA-210745
5	R-HSA-210746
8	R-HSA-210747
12	R-HSA-210990
26	R-HSA-210991
18	R-HSA-210993
136	R-HSA-211000
5	R-HSA-211163
2	R-HSA-211728
68	R-HSA-211733
2	R-HSA-211736
230	R-HSA-211859
71	R-HSA-211897
6	R-HSA-211916
16	R-HSA-211935
111	R-HSA-211945
1	R-HSA-211957
13	R-HSA-211958
32	R-HSA-211976
12	R-HSA-211979
25	R-HSA-211981
2	R-HSA-211994
12	R-HSA-211999
170	R-HSA-212165
47	R-HSA-2122947
32	R-HSA-2122948
75	R-HSA-212300
1308	R-HSA-212436
22	R-HSA-212676
9	R-HSA-212718
37	R-HSA-2129379
