@relation X3.18_cut7
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,7)','[7,Inf)'}
@data
-0.009394288,0.048678517,0.094444394,-0.08701599,-0.0030846596,3.08,0.00024711646,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.79,22023412,1.1557289,3.5695364,0.0016440166,-0.008558512,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.0220325,0.045805097,0.07429993,-0.024847507,-0.077833176,3.08,0.0002634196,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.8075,61643408,1.2624943,3.8895056,0.00096716435,-0.00081038475,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.10021484,0.030528069,0.060768843,0.010386705,-0.05582893,0,0.00011268462,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7725,11777400,1.1874973,3.6373892,0.0073997215,0.016928196,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.10387075,0.028084874,0.04124272,0.023843527,-0.053088903,2.53,0.00011838074,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7475,13091345,1.0843331,3.3242579,0.0033888596,0.014283419,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.104962945,-0.009394288,0.048678517,0.094444394,-0.08701599,0,0.00011967762,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6725,7693628,2.2747393,6.4242935,0.010762866,-0.044188976,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.23173547,-0.0220325,0.045805097,0.07429993,-0.024847507,2.61,5.3142496e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6574998,7539970,2.304913,6.4703593,0.0039092097,-0.027203321,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.09583652,0.10021484,0.030528069,0.060768843,0.010386705,2.61,5.8123893e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.62,17798646,2.294648,6.35703,0.0025178238,0.009627342,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.091142654,0.10387075,0.028084874,0.04124272,0.023843527,0,6.3074425e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6525,4484338,2.7629673,7.6738234,0.00027051766,0.0026152134,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.09997666,0.104962945,-0.009394288,0.048678517,0.094444394,0,5.999055e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6325,4094236,4.162756,11.303508,0.0041832235,-0.015390396,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.013887644,0.23173547,-0.0220325,0.045805097,0.07429993,0,5.8493097e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.63,2439559.8,4.0897202,11.101017,0.0035292953,-0.01437068,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.057317495,0.09583652,0.10021484,0.030528069,0.060768843,0,3.9120325e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.665,2130956.8,3.0516653,8.552999,0.0007711961,-0.10273147,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.07513738,0.091142654,0.10387075,0.028084874,0.04124272,0,3.7535392e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.635,3030392.8,1.8589096,5.318537,3.314328e-05,-0.16110587,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.08204687,0.09997666,0.104962945,-0.009394288,0.048678517,2.56,3.40363e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6,3092817.8,3.6317441,9.787587,0.0013232538,0.0049898624,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.12799823,-0.013887644,0.23173547,-0.0220325,0.045805097,0,2.416073e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.5749998,6198375,2.9231036,7.872044,0.0034823755,0.0069568157,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.0818553,0.057317495,0.09583652,0.10021484,0.030528069,0,2.2224734e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.56,5744793.5,4.3906565,11.585133,0.0013254709,0.0014123917,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.07808483,0.07513738,0.091142654,0.10387075,0.028084874,0,2.1887017e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.5625,4665840.5,4.4016943,11.624394,0.0031023899,-0.0008907318,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.07623935,0.08204687,0.09997666,0.104962945,-0.009394288,0,2.0101297e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.5675,3405718.8,4.4032497,11.650395,0.0018103922,-0.0058629513,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.19960737,0.12799823,-0.013887644,0.23173547,-0.0220325,2.66,6.085383e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6075,3877422.2,4.8195086,12.911921,0.0071851686,-0.019094706,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.18890941,0.0818553,0.057317495,0.09583652,0.10021484,2.69,6.027101e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.62,6260075.5,3.7829874,10.256479,0.00612775,-0.021211624,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.23837316,0.07808483,0.07513738,0.091142654,0.10387075,3.12,4.2176134e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7624998,9817445,1.0210735,3.1657684,0.0066931415,0.019568205,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.23049891,0.07623935,0.08204687,0.09997666,0.104962945,0,4.0900413e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.775,7002883.5,1.0452075,3.245504,0.009718635,0.01487112,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.067978024,0.19960737,0.12799823,-0.013887644,0.23173547,2.52,3.8049918e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7400002,7151544,0.96428585,2.9871962,0.003884421,0.022167206,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.11758351,0.18890941,0.0818553,0.057317495,0.09583652,2.64,2.6752086e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7275002,7350943.5,0.92307657,2.8627443,0.0073089,0.018692255,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.034657955,0.23837316,0.07808483,0.07513738,0.091142654,2.7,3.3196582e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.6225,5613725,3.1321335,8.5590725,0.012961309,-0.032665253,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.008869171,0.23049891,0.07623935,0.08204687,0.09997666,2.72,4.3484574e-06,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.645,35017584,2.5138834,6.994274,0.016977469,-0.06225872,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.16024756,0.067978024,0.19960737,0.12799823,-0.013887644,0,1.1510566e-05,462.62708,462.62708,431.45416,431.45416,900.33124,900.33606,2.7575002,23679366,1.7191796,5.0856905,0.005436733,0.011792183,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.22363138,0.11758351,0.18890941,0.0818553,0.057317495,0,1.253868e-05,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,3.0325,15555235,0.51650316,1.9113487,0.004789707,0.03944421,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.2130233,0.034657955,0.23837316,0.07808483,0.07513738,0,1.4459822e-05,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,3.015,14889102,0.5060819,1.8708897,0.003033597,0.043187857,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.12580276,-0.008869171,0.23049891,0.07623935,0.08204687,0,1.0369153e-05,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,3.0175,12315094,0.50823045,1.8786383,0.00298071,0.04357004,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.024585366,-0.16024756,0.067978024,0.19960737,0.12799823,0,1.36411945e-05,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,2.91,13116105,0.4383324,1.6206001,0.008180261,0.04280567,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.019912362,-0.22363138,0.11758351,0.18890941,0.0818553,0,1.0927356e-05,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,2.7075,7232848.5,1.5587001,4.5652337,7.561081e-05,0.0011277199,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.116980076,-0.2130233,0.034657955,0.23837316,0.07808483,0,6.444997e-06,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,2.695,6538614,1.4690967,4.3042684,0.00075767067,0.00012588501,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.1025728,-0.12580276,-0.008869171,0.23049891,0.07623935,0,5.1053435e-06,1060.7173,1060.7173,1092.8909,431.45416,900.33124,900.33606,2.67,6473632.5,1.414544,4.121885,0.005335511,0.01606822,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
